1	University of Geneva and HUG	Cantonal University Hospital of Geneva	Centre médical universitaire 	Geneva Univ Hosp	Geneva University	universite de geneve	Geneva University Hospital	Geneva University Hospitals	Hôpital cantonal Universitaire de Genève	Hôpitaux Universitaires Genève	Hospitals of University of Geneva (HUG)	HUG	UNIGE	Univ Hosp Geneva	Universidad de Ginebra	Università di Ginevra	Universität Genf	Universitätsklinik Genf	Universitätskliniken Genf	Universitätsklinikum Genf	Universitätsspital Genf	Université de Genève	University Hospital Geneva	University Hospitals Geneva	University of Geneva	university hospital of geneva	hôpitaux universitaires de genève	university hospitals of geneva	university hospital of geneva	hopital cantonal universitaire geneva	hôpital cantonal universitaire genève	hopital universitaire de geneve	university of geneve	geneva medical faculty	university hospitals and medical faculty geneva	university hospital and school of medicine geneva	univ de Geneve	university hospital and faculty of medicine of geneva	cmu geneva	university medical center geneva	hopital cantonal universitaire geneve
2	Univiersity of Lausanne and CHUV	C.H.U.V	Centre Hospitalier Universitaire Vaudois	CHUV	Lausanne University	UNIL	Università di Losanna	Università Lausanne	Universität Lausanne	Universitätsspital Lausanne	Université de Lausanne	University Hospital Center and University of Lausanne	University Hospital Centre and University of Lausanne	University Hospital Lausanne	University of Lausanne	Vaudois University Hospital Centre	university hospital of lausanne
3	EPFL (Lausanne)	E.P.F.L	Ecole Polytechnique (Lausanne)	Ecole Polytechnique Fédérale de Lausanne	Eidgenössische Technische Hochschule Lausanne	EPF Lausanne	EPFL	EPF-Lausanne	ETH Lausanne	Swiss Federal Institute of Technology Lausanne	Swiss Federal Institute of Technology Valais	Ecole Polytechnique Fédérale Lausanne
4	ETH Zurich	E.T.H.Z	École polytechnique fédérale (Zurich, Suisse)	Ecole polytechnique fédérale Zurich	Ecole polytechnique fédérale Zürich	Eidgenössische Technische Hochschule Zurich	Eidgenössische Technische Hochschule Zürich	Eidgenössische Technische Hochschule (ETH)	EPF Zurich	ETH	ETH Zuerich	ETH Zurich	ETH Zürich	ETHZ	Politecnico federale di Zurigo	Swiss Federal Institute of Technology Zuerich	Swiss Federal Institute of Technology Zurich	Swiss Federal Institute of Technology Zürich
5	University of Neuchâtel	Uni Neuchâtel	UNINE	Univ. Neuchâtel	Universidad de Neuchâtel	Università di Neuchâtel	Universität Neuchatel	Universität Neuchâtel	Universität Neuenburg	Université de Neuchâtel	University of Neuchatel	University of Neuchâtel
6	University of Fribourg	Universität Freiburg Schweiz	Universität Fribourg	Université de Fribourg	University of Fribourg	Fribourg University
7	University of Bern and Hospital	Hôpital de l'Ile	Inselspital	Università di Berna	Universität Bern	Universitätsspital Bern	Université de Berne	University Hospital Bern	University Hospital Berne	University of Bern	University of Berne	bern university hospital	university hospital of bern	university hospitals of bern
8	University of Basel and Hospital	Basel University	Basle University Hospital	Biozentrum Basel	Canton Hospital Basel	Cantonal Hospital Basel	Friedrich Miescher Institut	Friedrich Miescher Institute	Kantonsspital Basel	Kantonsspital Basle	Swiss Tropical Institute	Uni Basel 	Universitaet Basel	Universität Basel	Universitätsfrauenklinik Basel	Universitätsspital Basel	Université de Bâle	University Children's Hospital Basel	University Children's Hospital Basle	University Clinic of Basle	University Clinics Basel	University Frauenklinik Basel	University Hospital Basel	university basel	University Hospital Basle	University Hospitals Basel	University Hospitals Basle	University of Basel	University of Basle	university hospital of basel	university hospitals of basel
9	University of Zurich and Hospital	Kantonsspital Zurich	Kinderspital Zürich	Universitaetsspital Zuerich	Universität Zürich	Universitäts Spital Zurich	universitatsfrauenklinik zurich	universitatskinderklinik zurich	Universitätsklinik Zürich	Universitätsspital Zürich	University Children's Hospital Zuerich	University Children's Hospital Zurich	University Clinic Zurich	University Hospital Zuerich	University Hospital Zurich	University Hospital Zürich	University of Zuerich	University of Zurich	University of Zürich	University Spital Zuerich	university hospital of zurich	university zurich	zurich university	university hospital of psychiatry zurich
10	University of St. Gallen	Universität Sankt Gallen	Universitat St Gallen	Universität St. Gallen	Université de Saint-Gall	University of Sankt Gallen	University of Sankt-Gallen	University of St Gall	University of St Gallen	University of St. Gall	University of St. Gallen	University Sankt Gallen
